1,500,2,2
1,500,3,2
1,500,5,2
1,500,10,2
1,500,100,2
2,10,2,2
2,20,2,2
2,50,2,2
2,100,2,2
2,200,2,2
2,300,2,2
2,500,2,2
2,1000,2,2
2,5000,2,2
2,10000,2,2
2,10,3,2
2,20,3,2
2,50,3,2
2,100,3,2
2,200,3,2
2,300,3,2
2,500,3,2
2,1000,3,2
2,5000,3,2
2,10000,3,2
2,10,5,2
2,20,5,2
2,50,5,2
2,100,5,2
2,200,5,2
2,300,5,2
2,500,5,2
2,1000,5,2
2,5000,5,2
2,10000,5,2
2,20,10,2
2,50,10,2
2,100,10,2
2,200,10,2
2,300,10,2
2,500,10,2
2,1000,10,2
2,5000,10,2
2,10000,10,2
2,10,100,2
2,20,100,2
2,50,100,2
2,100,100,2
2,200,100,2
2,300,100,2
2,500,100,2
2,1000,100,2
2,5000,100,2
2,10000,100,2
3,500,2,2
3,500,2,5
3,500,2,10
3,500,2,20
3,500,2,50
3,500,2,100
3,500,2,200
3,500,2,500
3,500,2,1000
3,500,2,2000
3,500,3,2
3,500,3,5
3,500,3,10
3,500,3,20
3,500,3,50
3,500,3,100
3,500,3,200
3,500,3,500
3,500,3,1000
3,500,3,2000
3,500,5,2
3,500,5,5
3,500,5,10
3,500,5,20
3,500,5,50
3,500,5,100
3,500,5,200
3,500,5,500
3,500,5,1000
3,500,5,2000
3,500,10,2
3,500,10,5
3,500,10,10
3,500,10,20
3,500,10,50
3,500,10,100
3,500,10,200
3,500,10,500
3,500,10,1000
3,500,10,2000
3,500,100,2
3,500,100,5
3,500,100,10
3,500,100,20
3,500,100,50
3,500,100,100
3,500,100,200
3,500,100,500
3,500,100,1000
3,500,100,2000
